hdr;country;code;ind;anno
58;Costa Rica;CRI;16.5;2000
59;Serbia;SRB;0.0;2000
60;Cuba;CUB;13.9;2000
61;Iran, Islamic Rep.;IRN;0.0;2000
62;Georgia;GEO;4.1;2000
63;Turkey;TUR;13.1;2000
64;Venezuela, RB;VEN;12.7;2000
65;Sri Lanka;LKA;0.0;2000
66;Albania;ALB;0.0;2000
67;Lebanon;LBN;0.0;2000
68;Mexico;MEX;22.2;2000
69;Azerbaijan;AZE;7.5;2000
70;Brazil;BRA;12.1;2000
71;Bosnia and Herzegovina;BIH;0.0;2000
72;Armenia;ARM;0.0;2000
73;Ukraine;UKR;0.0;2000
74;Jordan;JOR;0.0;2000
75;Peru;PER;11.5;2000
76;Thailand;THA;17.3;2000
77;Ecuador;ECU;14.9;2000
78;China;CHN;0.0;2000
79;Fiji;FJI;0.0;2000
80;Mongolia;MNG;11.3;2000
81;Jamaica;JAM;6.2;2000
82;Colombia;COL;19.9;2000
83;Suriname;SUR;0.0;2000
84;Tunisia;TUN;0.0;2000
85;Dominican Republic;DOM;20.2;2000
86;Tonga;TON;0.0;2000
87;Libya;LBY;0.0;2000
88;Belize;BLZ;0.0;2000
89;Samoa;WSM;0.0;2000
90;Maldives;MDV;24.1;2000
91;Uzbekistan;UZB;0.0;2000
92;Moldova;MDA;10.2;2000
93;Botswana;BWA;14.1;2000
94;Gabon;GAB;0.0;2000
95;Paraguay;PRY;0.0;2000
96;Egypt, Arab Rep.;EGY;6.9;2000
97;Turkmenistan;TKM;0.0;2000
98;Indonesia;IDN;15.0;2000
99;Vietnam;VNM;10.1;2000
100;Philippines;PHL;13.3;2000
101;El Salvador;SLV;24.3;2000
102;Bolivia;BOL;9.8;2000
103;South Africa;ZAF;12.1;2000
104;Kyrgyz Republic;KGZ;7.3;2000
105;Iraq;IRQ;0.0;2000
106;Morocco;MAR;38.5;2000
107;Nicaragua;NIC;0.0;2000
108;Guatemala;GTM;0.0;2000
109;Namibia;NAM;6.7;2000
110;Tajikistan;TJK;0.0;2000
111;Honduras;HND;0.0;2000
112;India;IND;0.0;2000
113;Bhutan;BTN;0.0;2000
114;Congo, Dem. Rep.;COD;0.0;2000
115;Lao PDR;LAO;0.0;2000
116;Bangladesh;BGD;9.0;2000
117;Ghana;GHA;0.0;2000
118;Zambia;ZMB;2.0;2000
119;Cambodia;KHM;0.0;2000
120;Nepal;NPL;0.0;2000
121;Myanmar;MMR;0.0;2000
122;Kenya;KEN;0.0;2000
123;Pakistan;PAK;9.0;2000
124;Syrian Arab Republic;SYR;7.5;2000
125;Tanzania;TZA;0.0;2000
126;Nigeria;NGA;0.0;2000
127;Cameroon;CMR;0.0;2000
128;Papua New Guinea;PNG;0.0;2000
129;Zimbabwe;ZWE;0.0;2000
130;Mauritania;MRT;0.0;2000
131;Rwanda;RWA;0.0;2000
132;Lesotho;LSO;0.0;2000
133;Senegal;SEN;0.0;2000
134;Haiti;HTI;0.0;2000
135;Uganda;UGA;0.0;2000
136;Sudan;SDN;0.0;2000
137;Togo;TGO;0.0;2000
138;Benin;BEN;0.0;2000
139;Yemen, Rep.;YEM;0.0;2000
140;Afghanistan;AFG;0.0;2000
141;Malawi;MWI;0.0;2000
142;Cote d'Ivoire;CIV;0.0;2000
143;Gambia, The;GMB;0.0;2000
144;Ethiopia;ETH;0.0;2000
145;Mali;MLI;0.0;2000
146;Congo, Rep.;COG;0.0;2000
147;Liberia;LBR;0.0;2000
148;Sierra Leone;SLE;0.0;2000
149;Mozambique;MOZ;0.0;2000
150;Burundi;BDI;0.0;2000
151;Burkina Faso;BFA;0.0;2000
152;Chad;TCD;0.0;2000
153;Central African Republic;CAF;0.0;2000
1;Norway;NOR;8.1;2005
2;Switzerland;CHE;10.9;2005
3;Australia;AUS;9.3;2005
4;Germany;DEU;16.1;2005
5;Denmark;DNK;12.4;2005
6;Singapore;SGP;0.0;2005
7;Netherlands;NLD;8.1;2005
8;Ireland;IRL;11.9;2005
9;Iceland;ISL;10.6;2005
10;Canada;CAN;10.8;2005
11;United States;USA;9.6;2005
12;New Zealand;NZL;10.5;2005
13;Sweden;SWE;9.3;2005
14;United Kingdom;GBR;9.4;2005
15;Japan;JPN;17.2;2005
16;Korea, Rep.;KOR;16.6;2005
17;Israel;ISR;10.5;2005
18;Luxembourg;LUX;5.8;2005
19;France;FRA;12.1;2005
20;Belgium;BEL;11.4;2005
21;Finland;FIN;12.3;2005
22;Austria;AUT;12.9;2005
23;Slovenia;SVN;25.3;2005
24;Italy;ITA;17.4;2005
25;Spain;ESP;12.4;2005
26;Czech Republic;CZE;26.5;2005
27;Greece;GRC;9.9;2005
28;Estonia;EST;24.2;2005
29;Cyprus;CYP;10.6;2005
30;Malta;MLT;16.9;2005
31;Qatar;QAT;0.0;2005
32;Poland;POL;17.1;2005
33;Lithuania;LTU;20.8;2005
34;Chile;CHL;11.5;2005
35;Saudi Arabia;SAU;0.0;2005
36;Slovak Republic;SVK;25.2;2005
37;Portugal;PRT;18.5;2005
38;United Arab Emirates;ARE;6.2;2005
39;Hungary;HUN;21.2;2005
40;Latvia;LVA;17.3;2005
41;Argentina;ARG;10.9;2005
42;Croatia;HRV;18.1;2005
43;Bahrain;BHR;0.0;2005
44;Montenegro;MNE;9.2;2005
45;Russian Federation;RUS;21.2;2005
