hdr;country;code;gii;anno
102;Bolivia;BOL;0.590;2000
103;South Africa;ZAF;0.420;2000
104;Kyrgyz Republic;KGZ;0.480;2000
105;Iraq;IRQ;0.620;2000
106;Morocco;MAR;0.700;2000
107;Nicaragua;NIC;0.600;2000
108;Guatemala;GTM;0.600;2000
109;Namibia;NAM;0.550;2000
110;Tajikistan;TJK;0.410;2000
111;Honduras;HND;0.550;2000
112;India;IND;0.000;2000
113;Bhutan;BTN;0.000;2000
114;Congo, Dem. Rep.;COD;0.620;2000
115;Lao PDR;LAO;0.580;2000
116;Bangladesh;BGD;0.630;2000
117;Ghana;GHA;0.000;2000
118;Zambia;ZMB;0.630;2000
119;Cambodia;KHM;0.600;2000
120;Nepal;NPL;0.670;2000
121;Myanmar;MMR;0.000;2000
122;Kenya;KEN;0.700;2000
123;Pakistan;PAK;0.000;2000
124;Syrian Arab Republic;SYR;0.550;2000
125;Tanzania;TZA;0.000;2000
126;Nigeria;NGA;0.690;2000
127;Cameroon;CMR;0.660;2000
128;Papua New Guinea;PNG;0.630;2000
129;Zimbabwe;ZWE;0.760;2000
130;Mauritania;MRT;0.550;2000
131;Rwanda;RWA;0.600;2000
132;Lesotho;LSO;0.630;2000
133;Senegal;SEN;0.000;2000
134;Haiti;HTI;0.640;2000
135;Uganda;UGA;0.000;2000
136;Sudan;SDN;0.670;2000
137;Togo;TGO;0.680;2000
138;Benin;BEN;0.810;2000
139;Yemen, Rep.;YEM;0.000;2000
140;Afghanistan;AFG;0.690;2000
141;Malawi;MWI;0.000;2000
142;Cote d'Ivoire;CIV;0.740;2000
143;Gambia, The;GMB;0.000;2000
144;Ethiopia;ETH;0.730;2000
145;Mali;MLI;0.000;2000
146;Congo, Rep.;COG;0.690;2000
147;Liberia;LBR;0.700;2000
148;Sierra Leone;SLE;0.650;2000
149;Mozambique;MOZ;0.590;2000
150;Burundi;BDI;0.000;2000
151;Burkina Faso;BFA;0.000;2000
152;Chad;TCD;0.820;2000
153;Central African Republic;CAF;0.710;2000
1;Norway;NOR;0.090;2005
2;Switzerland;CHE;0.070;2005
3;Australia;AUS;0.140;2005
4;Germany;DEU;0.120;2005
5;Denmark;DNK;0.000;2005
6;Singapore;SGP;0.170;2005
7;Netherlands;NLD;0.080;2005
8;Ireland;IRL;0.190;2005
9;Iceland;ISL;0.130;2005
10;Canada;CAN;0.130;2005
11;United States;USA;0.260;2005
12;New Zealand;NZL;0.190;2005
13;Sweden;SWE;0.050;2005
14;United Kingdom;GBR;0.210;2005
15;Japan;JPN;0.150;2005
16;Korea, Rep.;KOR;0.110;2005
17;Israel;ISR;0.170;2005
18;Luxembourg;LUX;0.160;2005
19;France;FRA;0.160;2005
20;Belgium;BEL;0.100;2005
21;Finland;FIN;0.090;2005
22;Austria;AUT;0.120;2005
23;Slovenia;SVN;0.140;2005
24;Italy;ITA;0.180;2005
25;Spain;ESP;0.120;2005
26;Czech Republic;CZE;0.150;2005
27;Greece;GRC;0.180;2005
28;Estonia;EST;0.210;2005
29;Cyprus;CYP;0.140;2005
30;Malta;MLT;0.310;2005
31;Qatar;QAT;0.000;2005
32;Poland;POL;0.160;2005
33;Lithuania;LTU;0.190;2005
34;Chile;CHL;0.390;2005
35;Saudi Arabia;SAU;0.670;2005
36;Slovak Republic;SVK;0.190;2005
37;Portugal;PRT;0.180;2005
38;United Arab Emirates;ARE;0.590;2005
39;Hungary;HUN;0.260;2005
40;Latvia;LVA;0.220;2005
41;Argentina;ARG;0.370;2005
42;Croatia;HRV;0.160;2005
43;Bahrain;BHR;0.330;2005
44;Montenegro;MNE;0.000;2005
45;Russian Federation;RUS;0.360;2005
46;Romania;ROU;0.360;2005
47;Kuwait;KWT;0.370;2005
48;Belarus;BLR;0.000;2005
49;Oman;OMN;0.390;2005
50;Barbados;BRB;0.350;2005
51;Uruguay;URY;0.370;2005
52;Bulgaria;BGR;0.250;2005
53;Kazakhstan;KAZ;0.360;2005
54;Bahamas, The;BHS;0.360;2005
55;Panama;PAN;0.470;2005
56;Mauritius;MUS;0.370;2005
57;Trinidad and Tobago;TTO;0.350;2005
58;Costa Rica;CRI;0.350;2005
59;Serbia;SRB;0.000;2005
60;Cuba;CUB;0.340;2005
61;Iran, Islamic Rep.;IRN;0.510;2005
62;Georgia;GEO;0.390;2005
63;Turkey;TUR;0.560;2005
64;Venezuela, RB;VEN;0.470;2005
65;Sri Lanka;LKA;0.450;2005
66;Albania;ALB;0.330;2005
67;Lebanon;LBN;0.000;2005
68;Mexico;MEX;0.430;2005
