hdr;country;code;perc;anno
112;India;IND;33.8;2000
113;Bhutan;BTN;53.3;2000
114;Congo, Dem. Rep.;COD;63.7;2000
115;Lao PDR;LAO;79.6;2000
116;Bangladesh;BGD;54.2;2000
117;Ghana;GHA;72.7;2000
118;Zambia;ZMB;74.2;2000
119;Cambodia;KHM;78.4;2000
120;Nepal;NPL;81.5;2000
121;Myanmar;MMR;74.3;2000
122;Kenya;KEN;63.0;2000
123;Pakistan;PAK;16.1;2000
124;Syrian Arab Republic;SYR;19.7;2000
125;Tanzania;TZA;87.0;2000
126;Nigeria;NGA;44.8;2000
127;Cameroon;CMR;63.8;2000
128;Papua New Guinea;PNG;70.8;2000
129;Zimbabwe;ZWE;68.4;2000
130;Mauritania;MRT;26.7;2000
131;Rwanda;RWA;86.1;2000
132;Lesotho;LSO;67.8;2000
133;Senegal;SEN;41.5;2000
134;Haiti;HTI;56.9;2000
135;Uganda;UGA;80.5;2000
136;Sudan;SDN;26.7;2000
137;Togo;TGO;76.0;2000
138;Benin;BEN;64.0;2000
139;Yemen, Rep.;YEM;22.3;2000
140;Afghanistan;AFG;15.0;2000
141;Malawi;MWI;76.6;2000
142;Cote d'Ivoire;CIV;49.0;2000
143;Gambia, The;GMB;71.0;2000
144;Ethiopia;ETH;72.7;2000
145;Mali;MLI;36.3;2000
146;Congo, Rep.;COG;71.2;2000
147;Liberia;LBR;58.4;2000
148;Sierra Leone;SLE;64.1;2000
149;Mozambique;MOZ;87.5;2000
150;Burundi;BDI;85.1;2000
151;Burkina Faso;BFA;76.6;2000
152;Chad;TCD;64.4;2000
153;Central African Republic;CAF;69.9;2000
1;Norway;NOR;60.3;2005
2;Switzerland;CHE;59.5;2005
3;Australia;AUS;57.0;2005
4;Germany;DEU;50.6;2005
5;Denmark;DNK;60.5;2005
6;Singapore;SGP;53.5;2005
7;Netherlands;NLD;56.7;2005
8;Ireland;IRL;52.4;2005
9;Iceland;ISL;70.8;2005
10;Canada;CAN;60.9;2005
11;United States;USA;58.3;2005
12;New Zealand;NZL;60.3;2005
13;Sweden;SWE;59.3;2005
14;United Kingdom;GBR;54.9;2005
15;Japan;JPN;48.4;2005
16;Korea, Rep.;KOR;49.5;2005
17;Israel;ISR;55.4;2005
18;Luxembourg;LUX;45.4;2005
19;France;FRA;50.1;2005
20;Belgium;BEL;45.8;2005
21;Finland;FIN;56.8;2005
22;Austria;AUT;51.2;2005
23;Slovenia;SVN;52.8;2005
24;Italy;ITA;37.8;2005
25;Spain;ESP;45.9;2005
26;Czech Republic;CZE;50.8;2005
27;Greece;GRC;42.1;2005
28;Estonia;EST;53.4;2005
29;Cyprus;CYP;53.6;2005
30;Malta;MLT;29.1;2005
31;Qatar;QAT;43.5;2005
32;Poland;POL;47.5;2005
33;Lithuania;LTU;50.5;2005
34;Chile;CHL;38.2;2005
35;Saudi Arabia;SAU;17.5;2005
36;Slovak Republic;SVK;51.2;2005
37;Portugal;PRT;55.4;2005
38;United Arab Emirates;ARE;37.1;2005
39;Hungary;HUN;42.9;2005
40;Latvia;LVA;50.9;2005
41;Argentina;ARG;48.8;2005
42;Croatia;HRV;46.2;2005
43;Bahrain;BHR;36.2;2005
44;Montenegro;MNE;42.6;2005
45;Russian Federation;RUS;56.2;2005
46;Romania;ROU;47.4;2005
47;Kuwait;KWT;45.0;2005
48;Belarus;BLR;53.8;2005
49;Oman;OMN;25.4;2005
50;Barbados;BRB;64.2;2005
51;Uruguay;URY;52.7;2005
52;Bulgaria;BGR;44.6;2005
53;Kazakhstan;KAZ;64.4;2005
54;Bahamas, The;BHS;67.7;2005
55;Panama;PAN;47.9;2005
56;Mauritius;MUS;41.1;2005
57;Trinidad and Tobago;TTO;53.5;2005
58;Costa Rica;CRI;43.6;2005
59;Serbia;SRB;44.9;2005
60;Cuba;CUB;38.2;2005
61;Iran, Islamic Rep.;IRN;19.4;2005
62;Georgia;GEO;55.4;2005
63;Turkey;TUR;23.4;2005
64;Venezuela, RB;VEN;51.7;2005
65;Sri Lanka;LKA;34.4;2005
66;Albania;ALB;47.6;2005
67;Lebanon;LBN;20.3;2005
68;Mexico;MEX;41.0;2005
69;Azerbaijan;AZE;60.5;2005
70;Brazil;BRA;59.1;2005
71;Bosnia and Herzegovina;BIH;31.8;2005
72;Armenia;ARM;48.5;2005
73;Ukraine;UKR;52.2;2005
74;Jordan;JOR;12.3;2005
75;Peru;PER;57.5;2005
76;Thailand;THA;66.0;2005
77;Ecuador;ECU;55.3;2005
78;China;CHN;66.9;2005
79;Fiji;FJI;38.1;2005
80;Mongolia;MNG;55.4;2005
81;Jamaica;JAM;57.3;2005
82;Colombia;COL;53.0;2005
83;Suriname;SUR;37.6;2005
84;Tunisia;TUN;24.0;2005
85;Dominican Republic;DOM;48.8;2005
86;Tonga;TON;53.1;2005
87;Libya;LBY;28.6;2005
88;Belize;BLZ;45.7;2005
89;Samoa;WSM;28.3;2005
90;Maldives;MDV;50.4;2005
91;Uzbekistan;UZB;47.1;2005
92;Moldova;MDA;47.9;2005
93;Botswana;BWA;71.4;2005
94;Gabon;GAB;54.1;2005
95;Paraguay;PRY;54.3;2005
96;Egypt, Arab Rep.;EGY;20.5;2005
97;Turkmenistan;TKM;47.0;2005
98;Indonesia;IDN;50.0;2005
99;Vietnam;VNM;72.5;2005
100;Philippines;PHL;49.8;2005
101;El Salvador;SLV;45.2;2005
102;Bolivia;BOL;60.7;2005
103;South Africa;ZAF;46.7;2005
104;Kyrgyz Republic;KGZ;54.1;2005
105;Iraq;IRQ;13.7;2005
106;Morocco;MAR;27.6;2005
107;Nicaragua;NIC;43.7;2005
108;Guatemala;GTM;45.1;2005
109;Namibia;NAM;55.5;2005
110;Tajikistan;TJK;57.7;2005
111;Honduras;HND;36.3;2005
112;India;IND;36.8;2005
113;Bhutan;BTN;65.2;2005
114;Congo, Dem. Rep.;COD;67.4;2005
115;Lao PDR;LAO;78.9;2005
116;Bangladesh;BGD;48.1;2005
117;Ghana;GHA;67.6;2005
118;Zambia;ZMB;73.5;2005
119;Cambodia;KHM;75.9;2005
120;Nepal;NPL;80.4;2005
121;Myanmar;MMR;75.4;2005
122;Kenya;KEN;59.9;2005
123;Pakistan;PAK;19.3;2005
124;Syrian Arab Republic;SYR;16.3;2005
125;Tanzania;TZA;88.7;2005
126;Nigeria;NGA;47.6;2005
127;Cameroon;CMR;67.1;2005
128;Papua New Guinea;PNG;71.3;2005
129;Zimbabwe;ZWE;82.5;2005
130;Mauritania;MRT;27.8;2005
131;Rwanda;RWA;85.6;2005
132;Lesotho;LSO;61.8;2005
133;Senegal;SEN;35.6;2005
134;Haiti;HTI;58.4;2005
135;Uganda;UGA;77.0;2005
136;Sudan;SDN;24.5;2005
137;Togo;TGO;79.8;2005
138;Benin;BEN;67.4;2005
139;Yemen, Rep.;YEM;23.6;2005
140;Afghanistan;AFG;16.4;2005
141;Malawi;MWI;78.7;2005
142;Cote d'Ivoire;CIV;50.5;2005
143;Gambia, The;GMB;71.7;2005
144;Ethiopia;ETH;78.4;2005
145;Mali;MLI;38.3;2005
146;Congo, Rep.;COG;70.9;2005
147;Liberia;LBR;58.5;2005
148;Sierra Leone;SLE;65.1;2005
149;Mozambique;MOZ;87.0;2005
150;Burundi;BDI;84.0;2005
151;Burkina Faso;BFA;76.5;2005
152;Chad;TCD;64.2;2005
153;Central African Republic;CAF;69.9;2005
1;Norway;NOR;61.4;2010
2;Switzerland;CHE;60.8;2010
3;Australia;AUS;58.7;2010
4;Germany;DEU;52.8;2010
5;Denmark;DNK;59.8;2010
6;Singapore;SGP;57.3;2010
7;Netherlands;NLD;58.1;2010
8;Ireland;IRL;53.3;2010
9;Iceland;ISL;70.4;2010
10;Canada;CAN;61.8;2010
11;United States;USA;57.6;2010
12;New Zealand;NZL;61.5;2010
13;Sweden;SWE;59.0;2010
14;United Kingdom;GBR;55.8;2010
15;Japan;JPN;49.4;2010
16;Korea, Rep.;KOR;49.3;2010
17;Israel;ISR;57.1;2010
18;Luxembourg;LUX;48.8;2010
19;France;FRA;50.9;2010
20;Belgium;BEL;47.8;2010
21;Finland;FIN;56.2;2010
22;Austria;AUT;53.9;2010
23;Slovenia;SVN;53.2;2010
24;Italy;ITA;37.8;2010
25;Spain;ESP;51.4;2010
26;Czech Republic;CZE;49.3;2010
27;Greece;GRC;44.2;2010
28;Estonia;EST;56.0;2010
29;Cyprus;CYP;57.1;2010
30;Malta;MLT;32.6;2010
31;Qatar;QAT;51.5;2010
32;Poland;POL;48.3;2010
33;Lithuania;LTU;52.6;2010
34;Chile;CHL;46.8;2010
35;Saudi Arabia;SAU;18.3;2010
36;Slovak Republic;SVK;50.8;2010
37;Portugal;PRT;55.8;2010
38;United Arab Emirates;ARE;42.4;2010
39;Hungary;HUN;43.7;2010
40;Latvia;LVA;53.8;2010
41;Argentina;ARG;47.0;2010
42;Croatia;HRV;45.8;2010
43;Bahrain;BHR;41.3;2010
44;Montenegro;MNE;42.9;2010
45;Russian Federation;RUS;56.5;2010
46;Romania;ROU;47.3;2010
47;Kuwait;KWT;46.9;2010
48;Belarus;BLR;54.5;2010
49;Oman;OMN;27.6;2010
50;Barbados;BRB;63.5;2010
51;Uruguay;URY;55.1;2010
52;Bulgaria;BGR;47.5;2010
53;Kazakhstan;KAZ;65.5;2010
54;Bahamas, The;BHS;69.5;2010
55;Panama;PAN;49.0;2010
56;Mauritius;MUS;43.2;2010
57;Trinidad and Tobago;TTO;52.5;2010
58;Costa Rica;CRI;44.1;2010
59;Serbia;SRB;42.6;2010
60;Cuba;CUB;42.4;2010
61;Iran, Islamic Rep.;IRN;15.9;2010
62;Georgia;GEO;56.2;2010
63;Turkey;TUR;27.6;2010
64;Venezuela, RB;VEN;50.6;2010
65;Sri Lanka;LKA;34.6;2010
66;Albania;ALB;44.1;2010
67;Lebanon;LBN;22.0;2010
68;Mexico;MEX;43.8;2010
69;Azerbaijan;AZE;61.8;2010
70;Brazil;BRA;57.6;2010
71;Bosnia and Herzegovina;BIH;34.6;2010
72;Armenia;ARM;50.9;2010
73;Ukraine;UKR;52.4;2010
74;Jordan;JOR;15.4;2010
75;Peru;PER;65.6;2010
76;Thailand;THA;64.4;2010
77;Ecuador;ECU;49.9;2010
78;China;CHN;63.7;2010
79;Fiji;FJI;37.4;2010
80;Mongolia;MNG;55.1;2010
81;Jamaica;JAM;55.1;2010
82;Colombia;COL;55.5;2010
83;Suriname;SUR;39.9;2010
84;Tunisia;TUN;24.5;2010
85;Dominican Republic;DOM;49.3;2010
86;Tonga;TON;53.1;2010
87;Libya;LBY;29.8;2010
88;Belize;BLZ;51.9;2010
89;Samoa;WSM;24.1;2010
90;Maldives;MDV;55.2;2010
91;Uzbekistan;UZB;47.6;2010
92;Moldova;MDA;38.6;2010
93;Botswana;BWA;72.7;2010
94;Gabon;GAB;39.0;2010
95;Paraguay;PRY;54.6;2010
96;Egypt, Arab Rep.;EGY;22.7;2010
97;Turkmenistan;TKM;46.4;2010
98;Indonesia;IDN;51.9;2010
99;Vietnam;VNM;72.5;2010
100;Philippines;PHL;50.2;2010
101;El Salvador;SLV;46.4;2010
102;Bolivia;BOL;62.5;2010
103;South Africa;ZAF;43.8;2010
104;Kyrgyz Republic;KGZ;52.2;2010
105;Iraq;IRQ;14.5;2010
106;Morocco;MAR;25.7;2010
107;Nicaragua;NIC;46.8;2010
108;Guatemala;GTM;41.8;2010
109;Namibia;NAM;56.5;2010
110;Tajikistan;TJK;58.3;2010
111;Honduras;HND;44.2;2010
112;India;IND;28.6;2010
113;Bhutan;BTN;63.8;2010
114;Congo, Dem. Rep.;COD;67.5;2010
115;Lao PDR;LAO;77.9;2010
116;Bangladesh;BGD;42.0;2010
117;Ghana;GHA;71.6;2010
118;Zambia;ZMB;70.4;2010
119;Cambodia;KHM;81.6;2010
120;Nepal;NPL;79.8;2010
121;Myanmar;MMR;75.8;2010
122;Kenya;KEN;61.0;2010
123;Pakistan;PAK;23.9;2010
124;Syrian Arab Republic;SYR;13.3;2010
125;Tanzania;TZA;83.6;2010
126;Nigeria;NGA;47.9;2010
127;Cameroon;CMR;70.5;2010
128;Papua New Guinea;PNG;70.5;2010
129;Zimbabwe;ZWE;78.0;2010
130;Mauritania;MRT;28.8;2010
131;Rwanda;RWA;86.4;2010
132;Lesotho;LSO;58.6;2010
133;Senegal;SEN;42.4;2010
134;Haiti;HTI;60.2;2010
135;Uganda;UGA;80.6;2010
136;Sudan;SDN;23.2;2010
137;Togo;TGO;81.0;2010
138;Benin;BEN;69.3;2010
139;Yemen, Rep.;YEM;24.8;2010
140;Afghanistan;AFG;16.5;2010
